Gene symbol;Element subtype;Class;;;;;;;;;
blaOKP-A;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-100;AMR;BETA-LACTAM;;;;;;;;;
blaCMY-148;AMR;BETA-LACTAM;;;;;;;;;
blaSFO-1;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-35;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-30;AMR;BETA-LACTAM;;;;;;;;;
blaDIM-1;AMR;BETA-LACTAM;;;;;;;;;
blaIMI;AMR;BETA-LACTAM;;;;;;;;;
blaADC-73;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-12;AMR;BETA-LACTAM;;;;;;;;;
blaVEB-21;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1183;AMR;BETA-LACTAM;;;;;;;;;
blaIMP-94;AMR;BETA-LACTAM;;;;;;;;;
blaPER-8;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-8;AMR;BETA-LACTAM;;;;;;;;;
blaPSE;AMR;BETA-LACTAM;;;;;;;;;
blaPER-9;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-484;AMR;BETA-LACTAM;;;;;;;;;
blaCTX-M-24;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-26;AMR;BETA-LACTAM;;;;;;;;;
blaKPC-68;AMR;BETA-LACTAM;;;;;;;;;
blaPER-1;AMR;BETA-LACTAM;;;;;;;;;
bla;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1207;AMR;BETA-LACTAM;;;;;;;;;
blaTEM-24;AMR;BETA-LACTAM;;;;;;;;;
blaOXA-1057;AMR;BETA-LACTAM;;;;;;;;;
ble;AMR;BLEOMYCIN;;;;;;;;;
bleO;AMR;BLEOMYCIN;;;;;;;;;
cadD;METAL;CADMIUM;;;;;;;;;
cadC;METAL;CADMIUM/LEAD/ZINC;;;;;;;;;
chrA;METAL;CHROMATE;;;;;;;;;
mcr-9.1;AMR;COLISTIN;;;;;;;;;
mcr-9;AMR;COLISTIN;;;;;;;;;
mcr-9.2;AMR;COLISTIN;;;;;;;;;
mcr-10.1;AMR;COLISTIN;;;;;;;;;
mcr-1.1;AMR;COLISTIN;;;;;;;;;
mcr-4.3;AMR;COLISTIN;;;;;;;;;
mcr-1;AMR;COLISTIN;;;;;;;;;
pcoS;METAL;COPPER;;;;;;;;;
